epoch,acc,loss,val_acc,val_loss
0,0.978437330213,0.0802265007123,0.928809702396,0.192497621477
1,0.979157713782,0.0732515264011,0.9800924927,0.0725190164521
2,0.979371531519,0.0716853726628,0.980799514055,0.069773997739
3,0.979637102864,0.069735368413,0.982242381573,0.0607651136816
4,0.979858183005,0.0682675926353,0.982553583384,0.0596766836941
5,0.979997604869,0.0673612825247,0.982506525517,0.0606755668297
6,0.980087827162,0.0667301405614,0.982508030534,0.0606011295691
7,0.980165867025,0.0662114758695,0.98270213306,0.0581179942936
8,0.980218752363,0.0657718580067,0.982821273804,0.0577516349033
9,0.98028176856,0.0653847987733,0.982800877094,0.0576639005914
10,0.980341019706,0.0650849690424,0.982599431276,0.0584634745494
11,0.980392186923,0.0648214027733,0.982753267884,0.0580727608874
12,0.980437455188,0.0645899488154,0.982750955224,0.0573715323582
13,0.980477266355,0.0643968365145,0.982590317726,0.0582815634087
14,0.98051823214,0.0641840462597,0.982610717416,0.0578515576199
15,0.98054980821,0.0640440899066,0.982668522,0.0574698967859
16,0.980577470313,0.0639087131829,0.982429543138,0.0592747068033
17,0.980617482792,0.0637425005314,0.982745093107,0.0577223787084
18,0.980645217722,0.0636012870182,0.982786178589,0.0568837365136
19,0.980667314193,0.0635140774155,0.982715451717,0.0578755872324
20,0.98070089118,0.0633900955374,0.982687431574,0.0577104503289
21,0.980728633079,0.0632530375895,0.982464906573,0.0583469957113
22,0.980748065808,0.0631634972373,0.982622414827,0.0574304122478
23,0.980763175054,0.0631020856689,0.982544746995,0.0582084529102
24,0.980796350793,0.0629465872578,0.982582429051,0.0580585466698
