epoch,acc,loss,val_acc,val_loss
0,0.97891770035,0.0800468353144,0.981002864242,0.0711445169989
1,0.979115300157,0.0783349591017,0.981315423548,0.0708166609053
2,0.979162967969,0.0783762666205,0.981557127833,0.0697531857993
3,0.979249543626,0.0765533712679,0.981506673247,0.0682166203391
4,0.979226785337,0.0760872157893,0.981447363645,0.067830507271
5,0.979194196501,0.0764509344134,0.98141810596,0.0683482301887
6,0.979153610105,0.0761486069287,0.981214369088,0.0692013268825
7,0.97911580561,0.0761874939561,0.981088128686,0.0701679772697
8,0.979118204334,0.07627068362,0.981143376231,0.0695573411416
9,0.979246578057,0.075410047772,0.981315007061,0.0679940477945
