epoch,acc,loss,val_acc,val_loss
0,0.978388394627,0.126874686031,0.980494299531,0.111155307107
1,0.978388403535,0.124715253338,0.980494302511,0.110412723385
2,0.978388412736,0.12406264948,0.980494302511,0.110033314489
3,0.978388424158,0.123664795842,0.980494302511,0.10957750231
4,0.978388447241,0.123363869973,0.980494436622,0.109660742804
5,0.978388442115,0.123116784659,0.980494436622,0.10937325526
6,0.978388476285,0.122927296918,0.980494302511,0.109279207513
7,0.978388498566,0.122771919578,0.980494436622,0.109103647433
8,0.978388511452,0.122630031205,0.980494436622,0.109025484137
9,0.978388490363,0.122515193339,0.980494436622,0.109014455602
