epoch,acc,loss,val_acc,val_loss
0,0.979012569325,0.0772399301536,0.981730821729,0.0634486699477
1,0.979584880157,0.0719162571586,0.982221713662,0.0641680233181
2,0.979696260387,0.070755525696,0.98190600872,0.0619286317378
3,0.979759010412,0.0701352775612,0.982014417648,0.0651159321889
4,0.979819582961,0.0697583757856,0.981942880154,0.0618145057932
5,0.97988111885,0.069451176686,0.982320320606,0.0605712678283
6,0.979926290967,0.0692368476967,0.982404926419,0.059862986207
7,0.979967329112,0.0690284412436,0.982531961799,0.060223524645
8,0.980013761,0.0687950209251,0.982456213236,0.0601240215823
9,0.980041161711,0.0686144780401,0.98244369626,0.0598904551938
10,0.980057112423,0.0684653171057,0.982496190071,0.059585637413
11,0.980087343812,0.0682787756541,0.982514825463,0.0600130172446
12,0.980115345662,0.0680123211037,0.98243457675,0.0591754337773
