epoch,acc,loss,val_acc,val_loss
0,0.978047569318,0.0775789504193,0.982234618068,0.0648486703634
1,0.980096851089,0.0677148979608,0.982317322493,0.0600589012727
2,0.980347785906,0.0658641347191,0.982503259182,0.0590028366074
3,0.980488737816,0.0649280141189,0.982520803809,0.0585049649701
4,0.9805939918,0.0642573488311,0.982584875822,0.0589043306187
5,0.980663141196,0.0638216081241,0.98264567554,0.0589091135189
6,0.980717417045,0.0634365379658,0.982553318143,0.0588282220066
7,0.980750303323,0.0631146746511,0.982667306066,0.0579688198864
8,0.980790287034,0.0628570576761,0.982703477144,0.0616455633193
9,0.980823686838,0.0626582806744,0.982583928108,0.0590772094205
10,0.980860361256,0.062464385053,0.982648533583,0.0619907375425
