epoch,acc,loss,val_acc,val_loss
0,0.978007738086,0.0764367213689,0.982042843103,0.0609846016392
1,0.97979873499,0.0691405119056,0.982652470469,0.0585209744051
2,0.97997739405,0.0678268153105,0.98268443644,0.0580895852298
3,0.980068967966,0.0671597167582,0.982738298178,0.0573811911047
4,0.980133920778,0.066700842579,0.982769176364,0.0572347296402
5,0.980173136484,0.0663031502,0.982787406445,0.0569474883378
6,0.980212044402,0.0659720674899,0.982748782635,0.0577218020335
7,0.98023688169,0.0657777822661,0.982796379924,0.0566192874685
8,0.980263902502,0.0655769802274,0.982883295417,0.0562231145799
9,0.980282567826,0.0654537076611,0.98272048533,0.0567271752283
