epoch,acc,loss,val_acc,val_loss
0,0.979223055513,0.075499166289,0.982378808409,0.0636406637263
1,0.979756948582,0.0699322571158,0.982273394614,0.0623712914065
2,0.979929842624,0.0686704357016,0.982349021733,0.0616204835009
3,0.980016062338,0.0680146710102,0.981913086772,0.0652943613939
4,0.980065167029,0.067569698561,0.982386426628,0.0606281883549
5,0.980110946951,0.0672454605463,0.982385745645,0.063622239558
6,0.980139188647,0.0669209132794,0.982505978644,0.0601916580461
7,0.980153886909,0.0667267732073,0.982281821966,0.0621623560321
8,0.980178534863,0.0665075974285,0.982327940315,0.0609893443529
9,0.980200967404,0.0663447793135,0.982337728888,0.0617704028264
10,0.980216808081,0.0662088416263,0.981969799101,0.0622728921007
11,0.980239808771,0.0660527600384,0.981951984018,0.0628583191428
12,0.9802431482,0.0659736928225,0.982183210552,0.0630545998923
